ms,ms_name,country,state_or_province,loc_wkt,group_id
https://minmod.isi.edu/resource/mineral_sitefca42277afda296d4d94188dae196868f1ad0a4d1d1629b7bb7e4ee166bc3e1c,Pardner's Hill,United States,Alaska,POINT (-157.0204 67.06343),4214.0
https://minmod.isi.edu/resource/mineral_siteedc7bf1e9a573fa76e14a9e63362bde0e0c0642f5a81b7da5d3fb503040fdd58,Callahan,United States,Georgia,POINT (-85.32665 34.07653),4217.0
https://minmod.isi.edu/resource/mineral_siteb3e959acbe6a7d014bc3ba3bee719b8d73b49e199eaf1fd3d1df04898e6d7e4e,Upper Koness River,United States,Alaska,POINT (-144.61689 68.40984),4191.0
https://minmod.isi.edu/resource/mineral_site25eccadcaf1a2f35f9b88bee56270ea4d9ece45b37e35be5ed0d60997b900f0e,Gray Copper No. 18,United States,Oregon,POINT (-124.06339 42.41037),3038.0
https://minmod.isi.edu/resource/mineral_sitea4495ccb0e0e4a1ff62208af524f3479c2b9c941471b753111842f62b155a747,Lago Texcoco Basin,Mexico,Mexico,POINT (-99.06699 19.58395),3039.0
https://minmod.isi.edu/resource/mineral_sitef768062eca490e7313c905a95fbb92ac36fc8ca2dcb4bf3cb66e5317a5698c7a,Fwalu,Congo (Kinshasa),Katanga,POINT (26.155 -10.5807),4187.0
https://minmod.isi.edu/resource/mineral_site817ae0a77cb0e602f53a8edf79c8ac4d26568013ac222e42f029fd3f190924ac,Beypazari,Turkey,Ankara,POINT (31.93497 40.16532),4161.0
https://minmod.isi.edu/resource/mineral_site62b689c08b68502c8a0010b47af75f6e8647eba74c70986110acf9352bc17f36,Viburnum Trend,United States,Missouri,POINT (-91.12903 37.53837),3071.0
https://minmod.isi.edu/resource/mineral_sited357f270fbe2cee33aba88d9c9244a72985d825ea9f9109fae1af5410e29df7f,Carbonatite Deposit,United States,New Mexico,POINT (-106.30668 35.17867),3068.0
https://minmod.isi.edu/resource/mineral_site860f5e0e7f06dbb3a757e8a6eb9a7f0405892e8fa09a2fd00a7483351d3a6f11,Harbour and Thompson Prospects,United States,Alabama,POINT (-85.61662 33.98347),4170.0
https://minmod.isi.edu/resource/mineral_siteaf1609bb8099894339f2976f44206f550187801c02859dd716f5d2f0c3a2b3d4,Little Bob Mine,United States,Georgia,POINT (-84.81663 33.90014),4172.0
https://minmod.isi.edu/resource/mineral_site0a76fd8467fb8fc07921efd5cbf51e544c56878dff79520c0ff51edd1f5b41c2,Thio Mine,France,Territory of New Caledonia and Dependencies,POINT (166.18 -21.615),4173.0
https://minmod.isi.edu/resource/mineral_sitec795556acfc872cec5e783b9b117ef30ccacbf685f38d47e321023914bce5bf2,King Solomon,United States,Washington,POINT (-120.53729 48.22982),4174.0
https://minmod.isi.edu/resource/mineral_sitebed60516dbbab4631b88d72b3ac938d8ecbe18a7d6780660c577ca2604b3b8d2,Copper King,United States,Washington,POINT (-120.88898 48.27649),3055.0
https://minmod.isi.edu/resource/mineral_site82de56cd18726590abcf6954409bc6df31c2b73a5560e4aa8263533d7b7cb72d,Chinmen Island Laterite Deposit,China,Fujian [Fukien],POINT (118.36602 24.43259),3054.0
https://minmod.isi.edu/resource/mineral_site283e296a85a386cd9ab85004b23cf8cfd5a4d8176b87b3080032ddc27d1d5e09,Jacare and Jacarezinho,Brazil,Para,POINT (-51.89916 -6.26475),3053.0
https://minmod.isi.edu/resource/mineral_sitec34b02047ea05f1e7fea3e30559fb52615b9bccbfd0f5b9865607dc64865aef6,Exmibal Mine,Guatemala,Izabal,POINT (-89.33339 16.50077),4179.0
https://minmod.isi.edu/resource/mineral_site6596d23b6b57788d57b7cc5cf69abff8d724130ba85efc6c2d6ebce3254460ed,Unnamed Prospect,United States,California,POINT (-115.99255 35.13001),4183.0
https://minmod.isi.edu/resource/mineral_site829e46e93eabf0bf4a2f3cc8f158801d761a690800e141878d9a7cf34755df07,Ile Art Mining District,France,Territory of New Caledonia and Dependencies,POINT (163.66526 -19.71368),3044.0
https://minmod.isi.edu/resource/mineral_site598ed400b8381a40f0be2628c104d7ee4c5616af144ec0d9004f02c5919efeaf,Unnamed Pge Occurrence,United States,Virginia,POINT (-77.60302 39.02142),3043.0
