ms_uri_1,ms_uri_2
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10231544,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10231544
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10194643,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10194643
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10142697,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10142697
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10239376,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10142697
https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02df8f322a4fc5a0bf4bd9467cb2f6cf12a0a7452721db3a7001e2d783cd72e937,https://minmod.isi.edu/resource/site__api-cdr-land-v1-docs-documents__02df8f322a4fc5a0bf4bd9467cb2f6cf12a0a7452721db3a7001e2d783cd72e937
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000718,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000718
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10055659,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10055659
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10299041,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10055659
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000265,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000265
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10251647,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10251647
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10011959,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10251647
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10080596,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10080596
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10251190,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10251190
