ms_uri_1,ms_uri_2
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039280,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039280
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__101,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__101
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__3040,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__3040
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10184301,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__3040
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__66,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__3040
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sir20105090z__10390,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-major-deposits__3040
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__mt00002,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__mt00002
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__or00001,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-deposit__or00001
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10094088,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10094088
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10085921,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10085921
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10146828,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10146828
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10152364,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10152364
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10052666,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10152364
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10142905,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10142905
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__624,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__624
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024593,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024593
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10038420,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024593
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024473,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024593
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10158064,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024593
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__caboclo-dos-mangueiros,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__caboclo-dos-mangueiros
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10067824,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10067824
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000613,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000613
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__sconi-south-greenvale,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__sconi-south-greenvale
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__113,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__113
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__pitkin-state-forest,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__pitkin-state-forest
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10036943,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10036943
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10277401,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10036943
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10180013,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10180013
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__332,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__332
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__296,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__296
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10225385,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10225385
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__thompson,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__thompson
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10255482,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10255482
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__753,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__753
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__84,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__84
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__north-konawe-group-limonite,https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__north-konawe-group-limonite
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10132975,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10132975
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024573,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10132975
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10206525,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10132975
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10024459,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10132975
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000619,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__60000619
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__218,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-sedcu__218
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039282,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039282
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-2018-4590__musongati-366,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039282
https://minmod.isi.edu/resource/site__doi-org-10-5382-econgeo-4950__musongati,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10039282
https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10097684,https://minmod.isi.edu/resource/site__mrdata-usgs-gov-mrds__10097684
